id,trust_value,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
RouteSet5621.1,0.875,7,0,6,13,18,2,-0.5,0.9300699300699301,0.8701298701298701,1.0,0,1,1,0,1,0,0,0,0,0,1,3.3501225559829577
Route43610.0,0.8333333333329997,12,0,6,18,32,3,-0.20392509677383266,0.8497899159663866,0.8587662337662337,0.8333333333333334,0,2,1,0,2,0,0,0,0,0,2,-1.0
Building9631.0,0.8333333333329997,13,0,9,22,40,3,-0.2596583812374405,0.8800831443688586,0.8040343915343916,0.9814814814814816,0,2,2,0,2,2,0,0,0,0,2,-1.0
Route41187.0,0.8,7,0,4,11,18,3,-0.2668800507329065,0.8622222222222223,0.7703703703703703,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
Route21832.0,0.8333333333329997,12,0,6,18,32,3,-0.20392509677383266,0.8497899159663866,0.8587662337662337,0.8333333333333334,0,2,1,0,2,0,0,0,0,0,2,-1.0
RouteSet12611.1,0.8333333333329997,5,0,4,9,12,2,-0.5,0.9047619047619048,0.8285714285714285,1.0,0,1,1,0,1,0,0,0,0,0,1,3.263904326937052
Building6257.0,0.75,3,0,1,4,4,2,-0.5773502691896258,0.7777777777777777,0.6666666666666666,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Route54560.0,0.75,5,0,2,7,10,3,-0.3227486121839514,0.8166666666666668,0.725,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
Building7565.0,0.8333333333329997,7,0,3,10,16,2,-0.4646766902382152,0.8734567901234568,0.8379629629629631,0.9444444444444444,0,1,1,0,1,0,0,0,0,0,1,-1.0
Building32580.0,0.428571428571,6,0,4,10,13,2,-0.52704627669473,0.9012345679012346,0.8222222222222222,1.0,0,1,1,0,1,0,0,0,0,0,1,3.198760068515196
Building4132.0,0.75,3,0,1,4,4,2,-0.5773502691896258,0.7777777777777777,0.6666666666666666,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Building1152.0,0.8333333333329997,134,0,54,188,507,5,0.28949430761743444,0.836172161492326,0.8803343486416471,0.7274023301801082,0,5,5,0,5,5,0,0,0,0,5,2.137691222466461
Route41006.0,0.8333333333329997,9,0,6,15,26,3,-0.2722074211540951,0.8910910518053375,0.8094093406593406,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
RouteSet21302.1,0.75,3,0,2,5,6,2,-0.5,0.8666666666666666,0.7777777777777777,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Building3660.0,0.5,3,0,1,4,4,2,-0.5773502691896258,0.7777777777777777,0.6666666666666666,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Building21273.0,0.8333333333329997,9,0,5,14,24,3,-0.3639372626234195,0.8380341880341879,0.7576388888888889,0.9666666666666666,0,2,2,0,2,2,0,0,0,0,2,-1.0
RouteSet3058.1,0.875,7,0,6,13,18,2,-0.5,0.93006993006993,0.8701298701298701,1.0,0,1,1,0,1,0,0,0,0,0,1,3.3501225559829577
RouteSet2489.2,0.9090909090910002,10,0,6,16,24,2,-0.4467670516087703,0.8803571428571428,0.9085714285714286,0.8333333333333334,0,1,1,0,1,0,0,0,0,0,1,-1.0
RouteSet2489.1,0.714285714286,17,0,11,28,51,3,-0.2594942804491892,0.8713733978439862,0.8567718709587221,0.893939393939394,0,2,2,0,2,2,0,0,0,0,2,2.551421092268094
RouteSet12247.1,0.875,7,0,6,13,18,2,-0.5,0.9300699300699301,0.8701298701298701,1.0,0,1,1,0,1,0,0,0,0,0,1,3.3501225559829577
RouteSet1603.1,0.875,7,0,6,13,18,2,-0.5,0.93006993006993,0.8701298701298701,1.0,0,1,1,0,1,0,0,0,0,0,1,3.3501225559829577
RouteSet768.2,0.7826086956519998,26,0,14,40,64,4,-0.32801733113265363,0.8709663865546217,0.9117431588019822,0.7952380952380952,0,2,2,0,2,2,0,0,0,0,2,2.7015580407345867
Building4760.0,0.8333333333329997,13,0,9,22,40,3,-0.25965838123744045,0.8800831443688586,0.8040343915343916,0.9814814814814816,0,2,2,0,2,2,0,0,0,0,2,-1.0
RouteSet5635.2,0.9090909090910002,10,0,6,16,24,2,-0.4467670516087703,0.8803571428571428,0.9085714285714286,0.8333333333333334,0,1,1,0,1,0,0,0,0,0,1,-1.0
Building3600.0,0.75,3,0,1,4,4,2,-0.5773502691896258,0.7777777777777777,0.6666666666666666,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Building1559.0,0.7,17,0,13,30,52,3,-0.4063579204859647,0.9092477220773366,0.8459281629318395,0.9871794871794872,0,2,2,0,2,2,0,0,0,0,2,2.6441223350745195
Building6397.0,0.5,3,0,1,4,4,2,-0.5773502691896258,0.7777777777777777,0.6666666666666666,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Building7099.0,0.8333333333329997,7,0,3,10,16,2,-0.4646766902382152,0.8734567901234569,0.8379629629629629,0.9444444444444444,0,1,1,0,1,0,0,0,0,0,1,-1.0
Route61253.0,0.666666666667,3,0,0,3,2,2,-1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,-1.0
RouteSet5148.1,0.875,7,0,6,13,18,2,-0.5,0.9300699300699301,0.8701298701298701,1.0,0,1,1,0,1,0,0,0,0,0,1,3.3501225559829577
Route60791.0,0.666666666667,3,0,0,3,2,2,-1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,-1.0
Route38110.0,0.75,5,0,2,7,10,3,-0.3227486121839514,0.8166666666666668,0.725,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
RouteSet2831.2,0.9090909090910002,10,0,6,16,24,2,-0.4467670516087703,0.8803571428571428,0.9085714285714286,0.8333333333333334,0,1,1,0,1,0,0,0,0,0,1,-1.0
RouteSet2831.1,0.6,15,0,9,24,45,3,-0.2042107738392412,0.8546704793028322,0.8452505446623093,0.8703703703703703,0,2,2,0,2,2,0,0,0,0,2,-1.0
Route35891.0,0.8333333333329997,18,0,6,24,44,3,-0.1524974394528436,0.8527103331451159,0.9066080977845684,0.6999999999999998,0,2,1,0,2,0,0,0,0,0,2,-1.0
Building2621.0,0.8333333333329997,23,0,13,36,79,4,0.02170917923326875,0.8311214182642753,0.8192083169355896,0.8512820512820513,0,3,3,0,3,3,0,0,0,0,3,-1.0
Route959.0,0.692307692308,83,0,43,126,308,4,-0.040175505487302685,0.8665983095583819,0.9217308725846411,0.7614617940199333,0,3,3,0,3,3,0,0,0,0,3,-1.0
Route42230.0,0.8333333333329997,9,0,6,15,26,3,-0.2722074211540951,0.8910910518053374,0.8094093406593407,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
Route47197.0,0.8571428571430002,17,0,9,26,56,3,-0.12291574860912323,0.8241913875598088,0.8107157097288676,0.8481481481481479,0,2,2,0,2,2,0,0,0,0,2,-1.0
Building31622.0,0.4,4,0,2,6,7,2,-0.5477225575051661,0.8400000000000001,0.7333333333333334,1.0,0,1,1,0,1,0,0,0,0,0,1,3.123411762307297
Route59298.0,0.666666666667,3,0,0,3,2,2,-1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,-1.0
RouteSet12307.1,0.875,7,0,6,13,18,2,-0.5,0.9300699300699301,0.8701298701298701,1.0,0,1,1,0,1,0,0,0,0,0,1,3.3501225559829577
Building8284.0,0.8333333333329997,23,0,13,36,77,4,-0.12671769273091776,0.8312915935605011,0.7906911715735244,0.9000000000000001,0,3,3,0,3,3,0,0,0,0,3,-1.0
Building25310.0,0.4,4,0,2,6,7,2,-0.547722557505166,0.8400000000000001,0.7333333333333334,1.0,0,1,1,0,1,0,0,0,0,0,1,3.123411762307297
RouteSet31251.1,0.6,6,0,3,9,15,2,-0.41297379620840186,0.8796296296296297,0.8472222222222223,0.9444444444444444,0,1,1,0,1,0,0,0,0,0,1,-1.0
Route58034.0,0.5,8,0,2,10,18,3,-0.1928971288681649,0.7949735449735451,0.8078231292517006,0.75,0,2,1,0,2,0,0,0,0,0,2,4.674298041501537
Building6247.0,0.75,3,0,1,4,4,2,-0.5773502691896258,0.7777777777777778,0.6666666666666666,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Building4768.0,0.8333333333329997,13,0,9,22,40,3,-0.25965838123744056,0.8800831443688588,0.8040343915343916,0.9814814814814814,0,2,2,0,2,2,0,0,0,0,2,-1.0
Route1241.0,0.952380952381,75,0,38,113,265,4,0.06910212245385002,0.8321457218762884,0.8313749921834174,0.8336466165413532,0,4,4,0,4,4,0,0,0,0,5,2.2507587961419366
Building4148.0,0.75,3,0,1,4,4,2,-0.5773502691896258,0.7777777777777777,0.6666666666666666,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Route37326.0,0.8333333333329997,9,0,6,15,26,3,-0.2722074211540951,0.8910910518053375,0.8094093406593407,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
Building2849.0,0.8333333333329997,13,0,9,22,40,3,-0.2596583812374405,0.8800831443688586,0.8040343915343916,0.9814814814814816,0,2,2,0,2,2,0,0,0,0,2,-1.0
RouteSet3106.1,0.875,7,0,6,13,18,2,-0.5,0.93006993006993,0.8701298701298701,1.0,0,1,1,0,1,0,0,0,0,0,1,3.3501225559829577
Route40081.0,0.8333333333329997,9,0,6,15,26,3,-0.2722074211540951,0.8910910518053375,0.8094093406593407,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
Route50510.0,0.75,5,0,2,7,10,3,-0.3227486121839514,0.8166666666666668,0.725,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
Route18663.0,0.7777777777779998,21,0,12,33,71,3,-0.18152669043029807,0.8465081975772765,0.8394131161236424,0.8583333333333333,0,2,2,0,2,2,0,0,0,0,2,-1.0
RouteSet17976.1,0.75,3,0,2,5,6,2,-0.5,0.8666666666666668,0.7777777777777778,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Route50371.0,0.9090909090910002,62,0,19,81,184,4,-0.07260694906256264,0.8449938539721149,0.8933777887591146,0.6896559580770107,0,4,4,0,4,4,0,0,0,0,4,2.317799374632428
Route22767.0,0.8333333333329997,12,0,6,18,32,3,-0.20392509677383266,0.8497899159663865,0.8587662337662337,0.8333333333333334,0,2,1,0,2,0,0,0,0,0,2,-1.0
Building12353.0,0.8333333333329997,11,0,7,18,32,3,-0.32548818321193435,0.8600373482726423,0.7787301587301588,0.9761904761904762,0,2,2,0,2,2,0,0,0,0,2,-1.0
Route30792.0,0.75,5,0,2,7,10,3,-0.3227486121839514,0.8166666666666668,0.725,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
Route60698.0,0.666666666667,3,0,0,3,2,2,-1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,-1.0
Building4786.0,0.8333333333329997,13,0,9,22,40,3,-0.25965838123744056,0.8800831443688586,0.8040343915343916,0.9814814814814814,0,2,2,0,2,2,0,0,0,0,2,-1.0
Route21881.0,0.5,22,0,7,29,56,4,-0.06418766920117737,0.8052575443879793,0.8355814877554009,0.7142857142857143,0,3,2,0,3,2,0,0,0,0,3,-1.0
Building2507.0,0.8333333333329997,42,0,22,64,149,4,0.12248304009446848,0.8363962015782744,0.8441953248409491,0.8218614718614717,0,3,3,0,3,3,0,0,0,0,3,-1.0
Building2733.0,0.8333333333329997,25,0,14,39,85,4,0.09147744605734956,0.8265917180962948,0.8087702203191333,0.8571428571428571,0,3,3,0,3,3,0,0,0,0,3,-1.0
Building11568.0,0.8333333333329997,14,0,8,22,42,3,-0.29548915550869925,0.8503023431594859,0.7838217338217338,0.9583333333333331,0,2,2,0,2,2,0,0,0,0,2,-1.0
