id,trust_value
RouteSet10725.1,0.6
RouteSet3012.1,0.714285714286
Building8980.0,0.833333333333
RouteSet3012.2,0.909090909091
Building7049.0,0.833333333333
Building5989.0,0.5
Building4084.0,0.75
Route60139.0,0.666666666667
Building13625.0,0.833333333333
Route44734.0,0.833333333333
Building7029.0,0.75
Route59770.0,0.666666666667
Route56383.0,0.75
RouteSet2269.2,0.363636363636
RouteSet2269.3,0.666666666667
Building733.0,0.833333333333
RouteSet2269.1,0.4
Route40204.0,0.857142857143
RouteSet2269.4,0.666666666667
RouteSet2269.5,0.666666666667
RouteSet3028.1,0.875
Building23350.0,0.833333333333
Building2937.0,0.833333333333
Building5995.0,0.75
RouteSet1092.1,0.875
Route44714.0,0.875
RouteSet20718.1,0.75
Route40364.0,0.75
Route53584.0,0.714285714286
RouteSet21649.1,0.75
Route59820.0,0.666666666667
Building2891.0,0.444444444444
RouteSet9204.1,0.75
Building5104.0,0.833333333333
Building8256.0,0.833333333333
Route59225.0,0.666666666667
Route38869.0,0.75
Route54540.0,0.857142857143
Route54518.0,0.75
Building24146.0,0.833333333333
Building2563.0,0.833333333333
Building7055.0,0.833333333333
Building3658.0,0.75
RouteSet21375.1,0.6
Building12247.0,0.833333333333
Route20275.0,0.75
Route34269.0,0.833333333333
Building6163.0,0.75
RouteSet7543.1,0.75
Route54667.0,0.833333333333
Building4758.0,0.833333333333
Building7035.0,0.833333333333
Building3678.0,0.5
Building5272.0,0.833333333333
RouteSet12209.1,0.6
Building2971.0,0.833333333333
RouteSet1520.1,0.875
Building3844.0,0.75
Route48505.0,0.8
RouteSet25200.1,0.833333333333
Route57466.0,0.75
Building6455.0,0.75
Building20213.0,0.833333333333
RouteSet3406.1,0.875
Route48790.0,0.8
Building6469.0,0.75
Route57261.0,0.75
Building5687.0,0.833333333333
Building5136.0,0.833333333333
Building10016.0,0.833333333333
RouteSet20976.2,0.909090909091
Building24424.0,0.833333333333
RouteSet4964.1,0.6
RouteSet939.1,0.6
RouteSet939.2,0.909090909091
RouteSet17773.3,0.666666666667
RouteSet17773.2,0.823529411765
RouteSet17773.1,0.6
Route33686.0,0.666666666667
Building21300.0,0.8
Route39119.0,0.833333333333
Route59219.0,0.666666666667
RouteSet5559.1,0.875
RouteSet9577.1,0.875
Building4770.0,0.833333333333
Building5567.0,0.833333333333
Building32516.0,0.833333333333
Route25646.0,0.8
Route46392.0,0.833333333333
Route46302.0,0.833333333333
Route41344.0,0.833333333333
RouteSet9358.1,0.875
Building19139.0,0.4
Route13258.0,0.777777777778
Building12515.0,0.833333333333
Route59627.0,0.666666666667
Route46433.0,0.833333333333
RouteSet12521.1,0.6
Building31543.0,0.833333333333
Route55399.0,0.8
RouteSet3456.1,0.25
Route35658.0,0.833333333333
RouteSet24208.1,0.833333333333
RouteSet12349.1,0.875
Building25070.0,0.833333333333
Building24557.0,0.4
Route9894.0,0.833333333333
Building24452.0,0.833333333333
Building17565.0,0.833333333333
RouteSet11690.1,0.714285714286
Route37866.0,0.75
RouteSet11690.2,0.8
Building24871.0,0.833333333333
RouteSet8312.1,0.727272727273
RouteSet25214.1,0.833333333333
RouteSet1788.1,0.666666666667
Route41764.0,0.833333333333
RouteSet1788.3,0.5
RouteSet1788.2,0.823529411765
RouteSet1788.4,0.8
Route47314.0,0.833333333333
RouteSet12417.1,0.571428571429
Route22860.0,0.909090909091
RouteSet20213.1,0.777777777778
RouteSet25409.1,0.833333333333
Building8841.0,0.833333333333
RouteSet1774.4,0.666666666667
RouteSet1774.5,0.666666666667
Route54523.0,0.8
RouteSet1774.1,0.636363636364
RouteSet1774.2,0.823529411765
RouteSet1774.3,0.625
Building12397.0,0.833333333333
